id,address,state,city,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
0,"4700 EAST 14TH STREET",CA,OAKLAND,94601,37.770622,-122.210436,1,rooftop,4700,"E 14th St",Oakland,CA,"Alameda County",94601,US,"Alameda County",2018,06,06001,0653000,407400,2007,2,060014074002007,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
1,"3500 EAST 9TH ST",CA,OAKLAND,94601,37.772727,-122.225031,1,rooftop,3500,"E 9th St",Oakland,CA,"Alameda County",94601,US,"Alameda County",2018,06,06001,0653000,406100,2007,2,060014061002007,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
2,"670 WEST MIDWAY",CA,ALAMEDA,94501,37.785245,-122.299103,1,rooftop,670,"W Midway Ave",Alameda,CA,"Alameda County",94501,US,"Alameda County",2018,06,06001,0600562,428700,2056,2,060014287002056,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
3,"1901 THIRD STREET",CA,ALAMEDA,94501,37.778734,-122.288263,1,rooftop,1901,"3rd St",Alameda,CA,"Alameda County",94501,US,"Alameda County",2018,06,06001,0600562,427600,3001,3,060014276003001,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
4,"555 RALPH M. APPEZATO WAY",CA,ALAMEDA,94501,37.770563,-122.264779,0.33,place,,,Alameda,CA,"Alameda County",94501,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0600562,427800,1010,1,060014278001010,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
5,"1700 SANTA CLARA AVE",CA,ALAMEDA,94501,37.771269,-122.255855,1,rooftop,1700,"Santa Clara Ave",Alameda,CA,"Alameda County",94501,US,"Alameda County",2018,06,06001,0600562,427900,5016,5,060014279005016,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
6,"2025 SANTA CLARA AVENUE",CA,ALAMEDA,94501,37.769408,-122.250919,1,rooftop,2025,"Santa Clara Ave",Alameda,CA,"Alameda County",94501,US,"Alameda County",2018,06,06001,0600562,428000,2000,2,060014280002000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
7,"351 JACK LONDON AVE",CA,ALAMEDA,94501,37.78197,-122.285585,1,rooftop,351,"Jack London Ave",Alameda,CA,"Alameda County",94501,US,"Alameda County",2018,06,06001,0600562,428700,1042,1,060014287001042,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
8,"500 PACIFIC AVENUE",CA,ALAMEDA,94501,37.776266,-122.281879,1,rooftop,500,"Pacific Ave",Alameda,CA,"Alameda County",94501,US,"Alameda County",2018,06,06001,0600562,427600,2009,2,060014276002009,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
9,"720 JACKSON STREET",CA,ALBANY,94706,37.893064,-122.302901,1,rooftop,720,"Jackson St",Albany,CA,"Alameda County",94706,US,"Alameda County",2018,06,06001,0600674,420300,1008,1,060014203001008,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
